run_id,split,model_id,attribute,group,TP,FP,TN,FN
c16cce24-6646-40cc-9b40-ce9ad3d5633a,test,first_party_evidence_native,gender,female,679,0,870,0
c16cce24-6646-40cc-9b40-ce9ad3d5633a,test,first_party_evidence_native,gender,male,838,0,613,0
c16cce24-6646-40cc-9b40-ce9ad3d5633a,test,first_party_evidence_native,race,asian,125,0,123,0
c16cce24-6646-40cc-9b40-ce9ad3d5633a,test,first_party_evidence_native,race,black,85,0,72,0
c16cce24-6646-40cc-9b40-ce9ad3d5633a,test,first_party_evidence_native,race,hispanic,41,0,41,0
c16cce24-6646-40cc-9b40-ce9ad3d5633a,test,first_party_evidence_native,race,other,72,0,79,0
c16cce24-6646-40cc-9b40-ce9ad3d5633a,test,first_party_evidence_native,race,white,1194,0,1168,0
