component,version,license,use,notes
pyflakes,3.2.0,UNKNOWN,,
pygments,2.19.2,UNKNOWN,,
pylint,3.3.7,UNKNOWN,,
pyparsing,3.2.3,UNKNOWN,,
pypdf2,3.0.1,UNKNOWN,,
pypika,0.48.9,UNKNOWN,,
pyproject-hooks,1.2.0,UNKNOWN,,
pyreadline3,3.5.4,UNKNOWN,,
pytest,8.4.1,UNKNOWN,,
pytest-asyncio,0.24.0,UNKNOWN,,
pytest-benchmark,4.0.0,UNKNOWN,,
pytest-cov,6.2.1,UNKNOWN,,
pytest-rerunfailures,15.1,UNKNOWN,,
pytest-timeout,2.4.0,UNKNOWN,,
pytest-xdist,3.8.0,UNKNOWN,,
python-dateutil,2.9.0.post0,UNKNOWN,,
python-dotenv,1.1.0,UNKNOWN,,
python-lsp-jsonrpc,1.1.2,UNKNOWN,,
python-lsp-server,1.12.2,UNKNOWN,,
python-multipart,0.0.20,UNKNOWN,,
pytoolconfig,1.3.1,UNKNOWN,,
pytz,2025.2,UNKNOWN,,
pyyaml,6.0.2,UNKNOWN,,
radon,6.0.1,UNKNOWN,,
rdt,1.17.0,UNKNOWN,,
redis,6.2.0,UNKNOWN,,
referencing,0.36.2,UNKNOWN,,
regex,2024.11.6,UNKNOWN,,
requests,2.32.4,UNKNOWN,,
requests-oauthlib,2.0.0,UNKNOWN,,
rich,14.0.0,UNKNOWN,,
rope,1.13.0,UNKNOWN,,
rpds-py,0.25.1,UNKNOWN,,
rsa,4.9.1,UNKNOWN,,
ruff,0.12.0,UNKNOWN,,
s3transfer,0.13.0,UNKNOWN,,
safetensors,0.5.3,UNKNOWN,,
scikit-learn,1.7.0,UNKNOWN,,
scipy,1.15.3,UNKNOWN,,
scipy-stubs,1.16.0.2,UNKNOWN,,
seaborn,0.13.2,UNKNOWN,,
sentence-transformers,5.0.0,UNKNOWN,,
setuptools,78.1.1,UNKNOWN,,
shellingham,1.5.4,UNKNOWN,,
six,1.17.0,UNKNOWN,,
sniffio,1.3.1,UNKNOWN,,
snowballstemmer,3.0.1,UNKNOWN,,
sortedcontainers,2.4.0,UNKNOWN,,
sqlalchemy,2.0.41,UNKNOWN,,
sse-starlette,2.3.6,UNKNOWN,,
